,name,status,address,lat,long,id,rating,total ratings,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10
0,Ko Kret,,"Ko Kret, Pak Kret District, Nonthaburi 11120, Thailand",13.9114455,100.4761897,ChIJcaMWWAOF4jAR5z30rLFvg-Y,4.3,412.0,natural_feature,establishment,,,,,,,,
1,MR Kukrit Pramoj House,CLOSED_TEMPORARILY,"19 Naradhiwas Rajanagarindra 7 Alley, Yan Nawa, Sathon, Bangkok 10120, Thailand",13.7202778,100.5336111,ChIJkYhJSzKf4jARdpi3iCipBR0,4.2,328.0,tourist_attraction,museum,point_of_interest,establishment,,,,,,
2,Suan Luang Rama IX,CLOSED_TEMPORARILY,"Chaloem Phrakiat Ratchakan Thi 9 Rd, เเขวง หนองบอน Prawet, Bangkok 10250, Thailand",13.6881362,100.6581362,ChIJu1mpMZRgHTERRNTicTdIHxg,4.7,11672.0,tourist_attraction,park,point_of_interest,establishment,,,,,,
3,Kamthieng House Museum,CLOSED_TEMPORARILY,"131 Asok Montri Rd, Khlong Toei, Watthana, Bangkok 10110, Thailand",13.7393284,100.5612902,ChIJVVVVVeSe4jARhfy8f6qXCpE,4.1,135.0,museum,tourist_attraction,point_of_interest,establishment,,,,,,
4,Bangkok Farmers' Market (Gateway Ekkamai),OPERATIONAL,"976, 9 Sukhumvit Rd, Phra Khanong, Khlong Toei, Bangkok 10110, Thailand",13.7191514,100.5853242,ChIJd_4eN6Wf4jARhZGN7Higbig,4.1,115.0,point_of_interest,establishment,,,,,,,,
5,Warehouse 30,OPERATIONAL,"48 Captain Bush Ln, Bang Rak, Bangkok 10500, Thailand",13.7283667,100.5145846,ChIJhbRNuNuY4jARnvfgK79ciCM,4.2,1138.0,art_gallery,tourist_attraction,cafe,restaurant,food,point_of_interest,clothing_store,store,establishment,
6,THE COMMONS,OPERATIONAL,"335 Akkhara Phatsadu Alley, Khwaeng Khlong Tan Nuea, Khet Watthana, Bangkok 10110, Thailand",13.7349737,100.5821383,ChIJmZKsCFOe4jARjZUEQW7WV58,4.4,2850.0,shopping_mall,point_of_interest,establishment,,,,,,,
7,Neilson Hays Library,OPERATIONAL,"195 Thanon Surawong, Suriya Wong, Bang Rak, Bangkok 10500, Thailand",13.7270705,100.523017,ChIJH1bYY9GY4jAR_FWlfQ5kgek,4.5,132.0,library,tourist_attraction,point_of_interest,establishment,,,,,,
8,Phayathai Palace,OPERATIONAL,"315 Ratchawithi Rd, Thung Phaya Thai, Ratchathewi, Bangkok 10400, Thailand",13.7686261,100.5329005,ChIJ4Z0aebKe4jARPd4qGdUFvaA,4.6,651.0,museum,point_of_interest,establishment,,,,,,,
9,Queen Saovabha Memorial Institute,OPERATIONAL,"1871 Rama IV Rd, Pathum Wan, Pathum Wan District, Bangkok 10330, Thailand",13.7323537,100.5327024,ChIJMbJCVyqf4jAR6Trq73lS4-k,4.4,95.0,local_government_office,health,point_of_interest,establishment,,,,,,
10,Lumphini Park,OPERATIONAL,"Rama IV Rd, Lumphini, Pathum Wan District, Bangkok 10330, Thailand",13.7314029,100.5414396,ChIJG7BL7Saf4jARNmn5AQiyAaw,4.5,27371.0,park,point_of_interest,establishment,,,,,,,
11,Samut Prakan Crocodile Farm and Zoo,OPERATIONAL,"หมู่ที่ 7 555 Thai Ban, Mueang Samut Prakan District, Samut Prakan 10270, Thailand",13.5717502,100.5972679,ChIJrelJAECn4jARZflb5aM7BR0,3.6,3419.0,zoo,tourist_attraction,point_of_interest,establishment,,,,,,
12,Children’s Discovery Museum,CLOSED_TEMPORARILY,"810 Kamphaeng Phet 4 Rd, Chatuchak, Bangkok 10900, Thailand",13.8031103,100.5513518,ChIJiYe3uWuc4jARtODfpOuyAhQ,4.4,2304.0,tourist_attraction,museum,point_of_interest,establishment,,,,,,
13,Safari World,CLOSED_TEMPORARILY,"99 Panya Indra Rd, Sam Wa Tawan Tok, Khlong Sam Wa, Bangkok 10510, Thailand",13.866552,100.7063179,ChIJu3Kvbk1jHTERxDQviagK6ig,4.5,28421.0,zoo,tourist_attraction,point_of_interest,establishment,,,,,,
14,IMAGINIA Playland,CLOSED_TEMPORARILY,"The Emporium Shopping Complex 3rd fl., Sukhumvit 24 Rd., Klongton, Klongtoey, Bangkok 10110, Thailand",13.729784,100.568427,ChIJuXZ27Kyf4jARDelD7jGBKlQ,4.3,454.0,tourist_attraction,point_of_interest,establishment,,,,,,,
15,Siam Amazing Park สยามอะเมซิ่งพาร์ค,CLOSED_TEMPORARILY,"203 Suan Siam Rd, Khan Na Yao, Bangkok 10230, Thailand",13.8059892,100.6923284,ChIJrc78zJBjHTERdLG8EciM5Qs,4.3,9454.0,amusement_park,tourist_attraction,point_of_interest,establishment,,,,,,
16,SEA LIFE Bangkok Ocean World,OPERATIONAL,"B2 Floor, Siam Paragon Building, B1, 991 Rama I Rd, Pathum Wan, Pathum Wan District, Bangkok 10330, Thailand",13.7464945,100.5350722,ChIJH4I85c2e4jARUMYLeiqfBd0,4.5,12507.0,tourist_attraction,aquarium,point_of_interest,establishment,,,,,,
